NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-08;Home;Menors de 15;Si;0;1;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-07;Altres;N/A;--;31;378;12;9;2;116;23;0
CATALUNYA;CATALUNYA;2020-11-07;Dona;Entre 15 i 64;No;547;4775;1293;48;10;312;62;1
CATALUNYA;CATALUNYA;2020-11-07;Dona;Entre 15 i 64;Si;3;18;21;1;0;11;1;0
CATALUNYA;CATALUNYA;2020-11-07;Dona;Entre 65 i 74;No;56;423;117;9;3;212;47;1
CATALUNYA;CATALUNYA;2020-11-07;Dona;Entre 65 i 74;Si;5;29;2;1;0;5;0;1
CATALUNYA;CATALUNYA;2020-11-07;Dona;Majors de 74;No;77;572;116;32;2;428;24;14
CATALUNYA;CATALUNYA;2020-11-07;Dona;Majors de 74;Si;66;393;28;11;0;74;1;7
CATALUNYA;CATALUNYA;2020-11-07;Dona;Menors de 15;No;109;1261;216;0;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-07;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-07;Home;Entre 15 i 64;No;439;3117;925;39;15;624;171;5
CATALUNYA;CATALUNYA;2020-11-07;Home;Entre 15 i 64;Si;3;25;16;4;0;24;3;0
CATALUNYA;CATALUNYA;2020-11-07;Home;Entre 65 i 74;No;48;467;80;19;11;359;107;2
CATALUNYA;CATALUNYA;2020-11-07;Home;Entre 65 i 74;Si;1;26;2;0;1;15;2;0
CATALUNYA;CATALUNYA;2020-11-07;Home;Majors de 74;No;72;507;98;33;7;470;56;20
CATALUNYA;CATALUNYA;2020-11-07;Home;Majors de 74;Si;22;129;10;7;0;45;1;6
CATALUNYA;CATALUNYA;2020-11-07;Home;Menors de 15;No;107;1427;281;1;1;3;1;0
CATALUNYA;CATALUNYA;2020-11-07;Home;Menors de 15;Si;0;1;2;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-06;Altres;N/A;--;71;573;31;11;0;119;23;0
CATALUNYA;CATALUNYA;2020-11-06;Dona;Entre 15 i 64;No;1288;12528;4769;54;9;293;59;2
CATALUNYA;CATALUNYA;2020-11-06;Dona;Entre 15 i 64;Si;10;88;24;2;0;10;1;0
CATALUNYA;CATALUNYA;2020-11-06;Dona;Entre 65 i 74;No;141;936;356;24;6;209;43;4
CATALUNYA;CATALUNYA;2020-11-06;Dona;Entre 65 i 74;Si;5;71;21;0;0;5;0;2
CATALUNYA;CATALUNYA;2020-11-06;Dona;Majors de 74;No;124;1165;385;35;5;413;26;16
CATALUNYA;CATALUNYA;2020-11-06;Dona;Majors de 74;Si;61;752;275;6;0;67;1;14
CATALUNYA;CATALUNYA;2020-11-06;Dona;Menors de 15;No;296;4234;971;1;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-06;Dona;Menors de 15;Si;0;1;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-06;Home;Entre 15 i 64;No;1097;8067;3170;75;13;603;164;1
CATALUNYA;CATALUNYA;2020-11-06;Home;Entre 15 i 64;Si;5;103;26;2;1;21;3;1
CATALUNYA;CATALUNYA;2020-11-06;Home;Entre 65 i 74;No;103;893;234;32;7;345;113;1
CATALUNYA;CATALUNYA;2020-11-06;Home;Entre 65 i 74;Si;6;76;23;0;0;16;1;1
CATALUNYA;CATALUNYA;2020-11-06;Home;Majors de 74;No;95;957;255;35;3;465;50;16
CATALUNYA;CATALUNYA;2020-11-06;Home;Majors de 74;Si;17;269;92;4;0;44;1;5
CATALUNYA;CATALUNYA;2020-11-06;Home;Menors de 15;No;303;4401;1063;1;0;3;1;0
CATALUNYA;CATALUNYA;2020-11-06;Home;Menors de 15;Si;1;4;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-05;Altres;N/A;--;105;768;28;10;1;116;23;0
CATALUNYA;CATALUNYA;2020-11-05;Dona;Entre 15 i 64;No;1350;12344;4742;45;0;313;56;0
CATALUNYA;CATALUNYA;2020-11-05;Dona;Entre 15 i 64;Si;9;101;20;2;0;9;1;0
CATALUNYA;CATALUNYA;2020-11-05;Dona;Entre 65 i 74;No;125;733;354;13;2;213;44;1
CATALUNYA;CATALUNYA;2020-11-05;Dona;Entre 65 i 74;Si;6;88;10;1;0;8;0;1
CATALUNYA;CATALUNYA;2020-11-05;Dona;Majors de 74;No;144;1050;340;30;6;435;23;18
CATALUNYA;CATALUNYA;2020-11-05;Dona;Majors de 74;Si;107;1254;108;6;0;75;1;17
